T07	"Enrolment in primary, secondary and tertiary education levels"					
Region/Country/Area		Year	Series	Value	Footnotes	Source
1	"Total, all countries or areas"	2005	Students enrolled in primary education (thousands)	"678,990"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollement ratio - Primary (male)	104.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollment ratio - Primary (female)	99.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Students enrolled in secondary education (thousands)	"509,100"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollment ratio - Secondary (male)	65.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollment ratio - Secondary (female)	62.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Students enrolled in tertiary education (thousands)	"139,648"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollment ratio - Tertiary (male)	23.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2005	Gross enrollment ratio - Tertiary (female)	24.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Students enrolled in primary education (thousands)	"697,101"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollement ratio - Primary (male)	105.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollment ratio - Primary (female)	103		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Students enrolled in secondary education (thousands)	"546,263"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollment ratio - Secondary (male)	72.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollment ratio - Secondary (female)	69.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Students enrolled in tertiary education (thousands)	"181,506"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollment ratio - Tertiary (male)	28.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2010	Gross enrollment ratio - Tertiary (female)	30.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Students enrolled in primary education (thousands)	"716,242"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Gross enrollement ratio - Primary (male)	103.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
